what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"25.121-b13",1659930535604
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1659930537265
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1659930537312
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1659930537343
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1659930537359
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1659930540377
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1659930547094
closed,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1659930547094
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1659930549446
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1659930549446
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1659930550274
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1659930553966
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1659930554815
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1659930557787
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1659930565031
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1659930566814
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1659930575606
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1659930575653
closed,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1659930575653
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1659930589463
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1659930601351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1659930607545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1659930621790
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1659930624447
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1659930625830
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1659930625833
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1659930625833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1659930630009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1659930640042
